ADJA	G	("Attributives Adjektiv"),
ADJD	G	("Adverbiales oder prädikatives Adjektiv"),
ADV	A	("Adverb"),
APPR	P	("Präposition; Zirkumposition links"),
APPRART	P	("Präposition mit Artikel"),
APPO	P	("Postposition"),
APZR	P	("Zirkumposition rechts"),
ART	D	("Bestimmer oder unbestimmer Artikel"),
CARD	O	("Kardinalzahl"),
FM	O	("Fremdsprachichles Material"),
ITJ	O	("Interjektion"),
KOUI	C	("unterordnende Konjunktion mit zu und Infinitiv"),
KOUS	C	("unterordnende Konjunktion mit Satz"),
KON	C	("nebenordnende Konjunktion"),
KOKOM	C	("Vergleichskonjunktion"),
NN	N	("normales Nomen"),
NE	R	("Eigennamen"),
PDS 	Q	("substituierendes Demonstrativpronomen"),
PDAT	Q	("attribuierendes Demonstrativpronomen"),
PIS	Q	("substituierendes Indefinitpronomen"),
PIAT	Q	("attribuierendes Indefinitpronomen ohne Determiner"),
PIDAT	Q	("attribuierendes Indefinitpronomen mit Determiner"),
PPER	Q	("irreflexives Personalpronomen"),
PPOSS	Q	("substituierendes Possessivpronomen"),
PPOSAT	Q	("attribuierendes Possessivpronomen"),
PRELS	Q	("substituierendes Relativpronomen"),
PRELAT	Q	("attribuierendes Relativpronomen"),
PRF	Q	("reflexives Personalpronomen"),
PWS	Q	("substituierendes Interrogativpronomen"),
PWAT	Q	("attribuierendes Interrogativpronomen"),
PWAV	Q	("adverbiales Interrogativ- oder Relativpronomen"),
PAV	Q	("Pronominaladverb"),
PTKZU	O	("zu vor Infinitiv"),
PTKNEG	O	("Negationspartike"),
PTKVZ	V	("abgetrennter Verbzusatz"),
PTKANT	O	("Antwortpartikel"),
PTKA	O	("Partikel bei Adjektiv oder Adverb"),
TRUNC	N	("Kompositions-Erstglied"),
VVFIN	V	("finites Verb, voll"),
VVIMP	V	("Imperativ, voll"),
VVINF	V	("Infinitiv"),
VVIZU	V	("Infinitiv mit zu"),
VVPP	V	("Partizip Perfekt"),
VAFIN	V	("finites Verb, aux"),
VAIMP	V	("Imperativ, aux"),
VAINF	V	("Infinitiv, aux"),
VAPP	V	("Partizip Perfekt"),
VMFIN	V	("finites Verb, modal"),
VMINF	V	("Infinitiv, modal"),
VMPP	V	("Partizip Perfekt, modal"),
XY	O	("Nichtwort, Sonderzeichen"),
UNDEFINED	O	("Nicht definiert, zb. Satzzeichen");
